Month No.,Month-Day(s)-Events
1,"['January 1 – The St. Petersburg–Tampa Airboat Line in the United States starts services between St. Petersburg and Tampa, Florida, becoming the first airline to provide scheduled regular commercial passenger services with heavier-than-air aircraft, with Tony Jannus (the first federally-licensed pilot) conveying passengers in a Benoist XIV flying boat. Abram C. Pheil, mayor of St. Petersburg, is the first airline passenger, and over 3,000 people witness the first departure.', 'January 11 – The Sakurajima volcano in Japan begins to erupt, becoming effusive after a very large earthquake on January 13. The lava flow causes the island which it forms to be linked to the Ōsumi Peninsula.', 'January 11 – The Karluk, flagship of the Canadian Arctic Expedition, sank after being crushed by ice.']"
2,"['February 8 – The Luxembourg national football team has its first victory, beating France 5–4 in a friendly match, for the first and only time in football history.', 'February 12 – In Washington, D.C., the first stone of the Lincoln Memorial is put into place.', 'February 13 – Copyright: In New York City, the American Society of Composers, Authors and Publishers is established, to protect the copyrighted musical compositions of its members.', 'February 17 – Karl Staaff steps down as Prime Minister of Sweden, in the aftermath of the Courtyard Crisis. He is replaced by Hjalmar Hammarskjöld, father of Dag Hammarskjöld.', 'February 26 – The ocean liner that will become HMHS Britannic, sister to the RMS\xa0Titanic, is launched at the Harland and Wolff shipyards in Belfast.', 'February 28 – The Autonomous Republic of Northern Epirus is proclaimed by ethnic Greeks, in Northern Epirus.']"
3,"['March 7 – Prince William of Wied arrives in Albania, to begin his reign.', ""March 10 – Suffragette Mary Richardson damages Velázquez's painting Rokeby Venus in London's National Gallery, with a meat chopper."", ""March 17 (Saint Patrick's Day) – Green beer is invented by Dr. Thomas H. Curtin, and displayed at the Schnorrer Club of Morrisania in the Bronx, New York."", 'March 20 – Film Tess of the Storm Country is released, propelling its star Mary Pickford to new levels of fame, marking the rise of the modern celebrity.', 'March 27 – Belgian surgeon Albert Hustin makes the first successful non-direct blood transfusion, using anticoagulants.', 'March 29 – Katherine Routledge and her husband arrive on Easter Island, to make the first true study of it (they depart in August 1915).']"
4,"['April 4–September 27 – Komagata Maru incident: The SS\xa0Komagata Maru sails from India to Canada. Canadian regulations, designed to exclude Asian immigrants, prevent the boat from docking in Vancouver, and it is forced to return to Calcutta with all its passengers.', 'April 9 – Tampico Affair: A misunderstanding involving United States Navy sailors in Mexico and army troops loyal to Mexican dictator Victoriano Huerta leads to a breakdown in diplomatic relations between the United States and Mexico.', 'April 11 – Canadian Margaret C. MacDonald is appointed Matron-in-Chief of the Canadian Nursing service band, and becomes the first woman in the British Empire to reach the rank of major.', 'April 14–18 – The first International Criminal Police Congress is held in Monaco; 24 countries are represented, including some from Asia, Europe, and the Americas; the Dean of the Paris Law School is president.', 'April 20\nColorado Coalfield War – Ludlow Massacre: The Colorado National Guard attacks a tent colony of 1,200 striking coal miners in Ludlow, Colorado, killing 24 people.\nPresident Woodrow Wilson asks the United States Congress to use military force in Mexico, in reaction to the Tampico Affair.', 'Colorado Coalfield War – Ludlow Massacre: The Colorado National Guard attacks a tent colony of 1,200 striking coal miners in Ludlow, Colorado, killing 24 people.', 'President Woodrow Wilson asks the United States Congress to use military force in Mexico, in reaction to the Tampico Affair.', 'April 21 – United States occupation of Veracruz: 2,300 U.S. Navy sailors and Marines from the South Atlantic fleet land in the port city of Veracruz, Mexico, which they will occupy for over six months. The Ypiranga incident occurs when they attempt to enforce an arms embargo against Mexico, by preventing the German cargo steamer SS\xa0Ypiranga from unloading arms for the Mexican government in the port.', 'April 22 – Mexico ends diplomatic relations with the United States for the time being.', 'April 23 – The Afrikaans language receives official recognition, when Cornelis Jacobus Langenhoven addresses the English caucus of the Cape Provincial Council.']"
5,"['May 1 – November 1 – The Exposition Internationale is held at Lyon, France.', ""May 5 – November 11 – The Jubilee Exhibition (Jubilæumsutstillingen) is held at Kristiania, Norway, to mark the centennial of the country's Constitution."", 'May 9 – J. T. Hearne becomes the first bowler to take 3,000 first-class wickets.', ""May 14 – Woodrow Wilson signs a Mother's Day proclamation."", 'May 17 – The Protocol of Corfu provides for the provinces of Korçë and Gjirokastër, constituting Northern Epirus, to be granted autonomy under the nominal sovereignty of Albania.', 'May 25 – In the U.K., the House of Commons passes the Irish Home Rule Bill.', 'May 29 – The ocean liner RMS Empress of Ireland sinks in the Gulf of St. Lawrence; 1,012 lives are lost.', 'May 30 – The ocean liner RMS\xa0Aquitania makes her maiden voyage.']"
6,"['c. June – Blaise Diagne of Senegal becomes the first Black African representative in the French Parliament.', ""June 1 – Woodrow Wilson's envoy, Edward Mandell House, meets with Kaiser Wilhelm II."", 'June 8 – The Brazilian Football Confederation is founded, with Álvaro Zamith as its first president. The Brazilian Olympic Committee is founded on the same day.', 'June 9 – Pittsburgh Pirate Honus Wagner becomes the first baseball player in the twentieth century with 3,000 career hits.', 'June 12 – Greek genocide: Ottoman Greeks in Phocaea are massacred by Turkish irregular troops.', ""June 18 – Mexican Revolution: The Constitutionals take San Luis Potosí; Venustiano Carranza demands Victoriano Huerta's surrender."", 'June 23 – After it had been closed so that it could be deepened, the Kaiser-Wilhelm-Kanal is reopened by the Kaiser; the British Fleet under Sir George Warrender visits; the Kaiser inspects the Dreadnought HMS King George V.', 'June 24 – In Manchester, New Hampshire, a downtown fire causes $400,000 worth of damage and injures 19 firemen.']"
7,"['June 28 – Assassination of Archduke Franz Ferdinand of Austria: Serbian nationalist Gavrilo Princip, 19, assassinates Archduke Franz Ferdinand of Austria and his wife, Duchess Sophie, in Sarajevo, Bosnia and Herzegovina, triggering the July Crisis and World War I. Anti-Serb riots in Sarajevo and Zagreb break out.', 'June 29\nThe Secretary of the Austro-Hungarian Legation at Belgrade sends a dispatch to Vienna, suggesting Serbian complicity in the crime of Sarajevo. Anti-Serb riots continue throughout Bosnia.\nKhioniya Guseva attempts and fails to assassinate Grigori Rasputin at his hometown in Siberia.\nThe International Exhibition opens at the ""White City"", Ashton Gate, Bristol, England, U.K. It closes on August 15, and the site is used as a military depot.', 'The Secretary of the Austro-Hungarian Legation at Belgrade sends a dispatch to Vienna, suggesting Serbian complicity in the crime of Sarajevo. Anti-Serb riots continue throughout Bosnia.', 'Khioniya Guseva attempts and fails to assassinate Grigori Rasputin at his hometown in Siberia.', 'The International Exhibition opens at the ""White City"", Ashton Gate, Bristol, England, U.K. It closes on August 15, and the site is used as a military depot.', 'June 30 – Among those addressing the Parliament of the United Kingdom, on the murdered Archduke, are Lords Crewe and Lansdowne in the House of Lords, and Messrs Asquith and Law in the Commons.']"
8,"['July 1 – The Royal Naval Air Service, a forerunner of the Royal Air Force, is established.', ""July 2 – The German Kaiser announces that he will not attend the Archduke's funeral."", ""July 4\nThe Archduke's funeral takes place at Artstetten Castle, 50 miles west of Vienna, Austria-Hungary.\nLexington Avenue bombing: Four people are killed in New York City, when an anarchist bomb intended to kill John D. Rockefeller explodes prematurely, in the conspirator's apartment."", ""The Archduke's funeral takes place at Artstetten Castle, 50 miles west of Vienna, Austria-Hungary."", ""Lexington Avenue bombing: Four people are killed in New York City, when an anarchist bomb intended to kill John D. Rockefeller explodes prematurely, in the conspirator's apartment."", 'July 5 – A council is held at Potsdam, powerful leaders within Austria-Hungary and Germany meet to discuss the possibilities of war with Serbia, Russia, and France.', 'July 7 – Austria-Hungary convenes a Council of Ministers, including Ministers for Foreign Affairs and War, the Chief of the General Staff and Naval Commander-in-Chief; the Council lasts from 11:30 am until 6:15 pm.', 'July 9 – The Emperor of Austria-Hungary receives the report of the Austro-Hungarian investigation, into the Assassination of Archduke Franz Ferdinand of Austria at Sarajevo. The Times publishes an account of the Austro-Hungarian press campaign against the Serbians (who are described as ""pestilent rats"").', 'July 10 – Nicholas Hartwig, Russian Minister to Serbia, dies of a heart attack while visiting Austrian minister Wladimir Giesl von Gieslingen, at the Austrian Legation in Belgrade.', 'July 11\nBaseball legend Babe Ruth makes his major league debut, with the Boston Red Sox.\nUSS\xa0Nevada, the United States Navy\'s first ""super-dreadnought"" battleship, is launched.\nOver 5,000 people attend a rally in Union Square, Manhattan, called by the Anti-Militarist League to commemorate the anarchists killed in the July 4th Lexington Avenue bombing.', 'Baseball legend Babe Ruth makes his major league debut, with the Boston Red Sox.', 'USS\xa0Nevada, the United States Navy\'s first ""super-dreadnought"" battleship, is launched.', 'Over 5,000 people attend a rally in Union Square, Manhattan, called by the Anti-Militarist League to commemorate the anarchists killed in the July 4th Lexington Avenue bombing.', 'July 13 – Reports surface of a projected Serbian attack upon the Austro-Hungarian Legation at Belgrade.', 'July 14 – The Government of Ireland Bill completes its passage through the House of Lords in the U.K. It allows Ulster counties to vote on whether or not they wish to participate in Home Rule from Dublin.', 'July 15 – Mexican Revolution: Victoriano Huerta resigns from the presidency of Mexico, and leaves for Coatzacoalcos, Veracruz.', 'July 18\nThe Signal Corps of the United States Army establishes an Aviation Section, giving definite status to its air service for the first time.\nThe British Fleet is reviewed at Spithead, by George V.\nMahatma Gandhi leaves South Africa for the last time, sailing out of Cape Town for England, on board the S.S. Kinfauns Castle.', 'The Signal Corps of the United States Army establishes an Aviation Section, giving definite status to its air service for the first time.', 'The British Fleet is reviewed at Spithead, by George V.', 'Mahatma Gandhi leaves South Africa for the last time, sailing out of Cape Town for England, on board the S.S. Kinfauns Castle.', 'July 19 – George V summons a conference to discuss the Irish Home Rule problem. It meets from July 21–24, without reaching consensus.', 'July 23 – July Ultimatum: Austria-Hungary presents Serbia with an unconditional ultimatum.', 'July 25 – Austria-Hungary severs diplomatic ties with Serbia, and begins to mobilise its own forces. Radomir Putnik, Chief of the Serbian General Staff, is arrested in Budapest, but subsequently allowed to return to Serbia.', ""July 26 – Bachelor's Walk massacre: The King's Own Scottish Borderers of the British Army fire on Dubliners at Bachelor's Walk, killing three people and injuring a further 38."", 'July 27 – Felix Ysagun Manalo registers the Iglesia ni Cristo (Church of Christ) with the government of the Philippines.']"
9,"['July 28\nWorld War I begins when Austria-Hungary declares war on Serbia by telegram. Tsar Nicholas II of Russia orders a partial mobilisation against Austria-Hungary.\nHenriette Caillaux, wife of French minister Joseph Caillaux, is acquitted of the murder of Gaston Calmette by reason of crime passionnel.', 'World War I begins when Austria-Hungary declares war on Serbia by telegram. Tsar Nicholas II of Russia orders a partial mobilisation against Austria-Hungary.', 'Henriette Caillaux, wife of French minister Joseph Caillaux, is acquitted of the murder of Gaston Calmette by reason of crime passionnel.', 'July 28–August 10 – World War I: Pursuit of Goeben and Breslau: British and French naval forces fail to prevent the ships of the Imperial German Navy Mediterranean Division from reaching the Dardanelles.', ""July 29\nWorld War I: Austro-Hungarian Navy river monitor SMS\xa0Bodrog fires the first shots of the war, opening the bombardment of the defences of Belgrade, Serbia's capital.\nIn Massachusetts, the new Cape Cod Canal opens; it shortens the trip between New York and Boston by 66 miles, but also turns Cape Cod into an island."", ""World War I: Austro-Hungarian Navy river monitor SMS\xa0Bodrog fires the first shots of the war, opening the bombardment of the defences of Belgrade, Serbia's capital."", 'In Massachusetts, the new Cape Cod Canal opens; it shortens the trip between New York and Boston by 66 miles, but also turns Cape Cod into an island.', 'July 31 – Russia orders full mobilisation.']"
10,"[""August 1\nThe German Empire declares war on the Russian Empire, following Russia's military mobilization in support of Serbia; Germany also begins mobilisation.\nFrance orders general mobilisation.\nThe New York Stock Exchange is closed because of the outbreak of war in Europe, where nearly all stock exchanges are already closed.\nMarcus Garvey founds the Universal Negro Improvement Association in Jamaica."", ""The German Empire declares war on the Russian Empire, following Russia's military mobilization in support of Serbia; Germany also begins mobilisation."", 'France orders general mobilisation.', 'The New York Stock Exchange is closed because of the outbreak of war in Europe, where nearly all stock exchanges are already closed.', 'Marcus Garvey founds the Universal Negro Improvement Association in Jamaica.', 'August 2\nGerman troops occupy Luxembourg, in accordance with the Schlieffen Plan.\nA secret treaty between the Ottoman Empire and Germany secures Ottoman neutrality.\nAt 7:00 pm (local time) Germany issues a 12-hour ultimatum to neutral Belgium, to allow German passage into France.', 'German troops occupy Luxembourg, in accordance with the Schlieffen Plan.', 'A secret treaty between the Ottoman Empire and Germany secures Ottoman neutrality.', 'At 7:00 pm (local time) Germany issues a 12-hour ultimatum to neutral Belgium, to allow German passage into France.', ""August 3\nGermany declares war on Russia's ally, France.\nAt 7:00 am (local time) Belgium declines to accept Germany's ultimatum of August 2."", ""Germany declares war on Russia's ally, France."", ""At 7:00 am (local time) Belgium declines to accept Germany's ultimatum of August 2.""]"
